Description	Name	Egg_1	Egg_2	Egg_3	2_1	2_2	2_3	4_1	4_2	4_3	6_1	6_2	6_3	8_1	8_2	8_3	24_1	24_2	24_3	Gene_stable_ID	Transcript_stable_ID	Protein_stable_ID	Transcript_name	Gene_Synonym	Gene_type	Gene_description
NAD-dependent protein deacylase sirtuin-5, mitochondrial-like [Danio rerio]	LOC100536119	77740400.2937011	87371885.7084682	79025994.0080407	92902583.4464682	51647271.6336048	99093577.1264497	51480888.8347897	38605395.9447096	47987153.8916994	40824722.3925292	77257384.901649	53497782.0182508	66781761.5949308	80142220.8190188	30976459.4584927	50057114.5830525	62053268.7194683	28389210.5520034	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:11:3499111:3525259:1 gene:ENSDARG00000074565.5 transcript:ENSDART00000113096.5 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:pusl1 description:pseudouridine synthase like 1 [Source:ZFIN;Acc:ZDB-GENE-101110-1]	LOC555828; pusl1	76927119.6613116	197192.633751366	755041.839500824	194655.779391898	218542.398906558	200316.40149845	136839.903259543	255281.38508428	419572.636784168	287118.545381878	249053.598694961	263460.740186661	213834.374995502	222762.305921108	220863.176934779	199123.194798386	214419.032333706	484439.899847936	NA	NA	NA	NA	NA	NA	NA
Peptidyl-tRNA hydrolase 2 [Danio rerio]	ptrh2	76659470.9341963	113806612.393384	120566093.170936	104526416.627127	104080411.728412	85658495.7511097	93099133.9937802	84443096.7320632	90382720.5132863	54320142.9329505	85093464.8254321	46267566.603059	51704190.6910827	64661363.1686807	51834053.1484933	57920087.80586	12818968.6406347	26846893.5599404	ENSDARG00000077339,ENSDARG00000111027	ENSDART00000191216,ENSDART00000142016,ENSDART00000188458	ENSDARP00000145502,ENSDARP00000118511,ENSDARP00000150742	ptrh2-202,ptrh2-201,ptrh2-203		protein_coding	peptidyl-tRNA_hydrolase_2_[Source:ZFIN;Acc:ZDB-GENE-050522-163]
pep chromosome:GRCz11:11:41838036:41850086:1 gene:ENSDARG00000016649.7 transcript:ENSDART00000192352.1 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:akr7a3 description:aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase) [Source:ZFIN;Acc:ZDB-GENE-040718-62]	NA	76166565.4114848	57045564.6024586	40600239.705954	83636943.1212106	53778268.6301521	21160841.9417516	71276070.2098312	103032326.305001	56558045.8835644	45131369.8375833	68588363.8002384	14222937.3098089	128503422.916993	96898241.249204	25916383.0575125	79837690.1611218	93618849.5504154	53602167.4819571	NA	NA	NA	NA	NA	NA	NA
LACB2_DANRE Endoribonuclease LACTB2 OS=Danio rerio OX=7955 GN=lactb2 PE=2 SV=1	zgc:77065; lactb2	75330841.249208	67314454.3555145	64201491.2883959	56914618.6344374	61703226.0904099	59396278.1347403	53866330.1931026	39908701.4308744	78800164.3234075	161445590.332594	44859514.5454672	98824533.9302369	48930869.4294394	50840489.5141556	25634799.5764585	40658816.2455795	23761274.3474701	34920138.5599928	NA	NA	NA	NA	NA	NA	NA
Zgc:173439 protein, partial [Danio rerio]	fars2	75007054.8431169	57708422.0364332	80311111.0430268	68665662.7566852	48348256.5506784	72652861.7582218	43223603.3510322	54723579.3109556	57591828.1156882	38277615.5717571	30711323.9106579	65554892.7848235	35410496.7896083	34575933.7737511	47944219.0673564	26117790.7112267	22237930.7182324	19339667.2446488	ENSDARG00000091247	ENSDART00000171805	ENSDARP00000136280	fars2-201		protein_coding	phenylalanyl-tRNA_synthetase_2,_mitochondrial_[Source:ZFIN;Acc:ZDB-GENE-070928-38]
pep chromosome:GRCz11:12:34378733:34397139:1 gene:ENSDARG00000076225.3 transcript:ENSDART00000018939.7 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:tha1 description:threonine aldolase 1 [Source:ZFIN;Acc:ZDB-GENE-040704-14]	tha1	74288370.268234	46811446.9416981	47030559.837085	66684438.0373165	54514785.9744169	29989291.6101176	41760147.2426765	51951079.4540878	29864149.3868644	28206188.6357762	40671792.1205343	9491822.52155669	27163493.0482734	29050983.7489106	26215350.3959509	12882889.3814212	26986197.2471028	14158226.2526257	ENSDARG00000076225	ENSDART00000018939	ENSDARP00000012444	tha1-201		protein_coding	threonine_aldolase_1_[Source:ZFIN;Acc:ZDB-GENE-040704-14]
Zgc:158138 protein, partial [Danio rerio]	hadhab	74163816.5117614	89222361.3734777	67894365.6570562	113080812.578626	76063367.9998879	68201885.0981715	100454934.550454	72074555.0298318	73000138.9819781	62380088.6167625	70364403.8159218	59627117.8592482	57344299.3499306	68719856.5925487	58349611.0834784	42027984.9412019	44557359.1308623	54474808.6110062	ENSDARG00000060594	ENSDART00000076009,ENSDART00000128879	ENSDARP00000070488,	hadhab-201,hadhab-202		protein_coding	hydroxyacyl-CoA_dehydrogenase_trifunctional_multienzyme_complex_subunit_alpha_b_[Source:ZFIN;Acc:ZDB-GENE-041111-204]
probable leucine--tRNA ligase, mitochondrial [Danio rerio]	lars2	73947082.7146526	59652444.1055392	72988703.5686756	68179115.1310921	42823416.287757	73083994.1325204	53147053.7647964	49073254.1985888	60650577.9594956	45651498.6849072	38841372.4593391	25896522.5378929	35337319.0870958	24806306.7035249	37742382.1274571	27453350.1038079	27066637.9645259	18909398.2967725	ENSDARG00000075337	ENSDART00000109980,ENSDART00000149675	ENSDARP00000099569,ENSDARP00000124489	lars2-201,lars2-202		protein_coding	leucyl-tRNA_synthetase_2,_mitochondrial_[Source:ZFIN;Acc:ZDB-GENE-070928-3]
alcohol dehydrogenase [NADP(+)] B isoform X1 [Danio rerio]	akr1a1b	73142663.9633185	95083279.9341607	60189112.9324285	73537843.478336	69176029.1818386	84639746.2573996	92622660.5859177	54602274.3143308	69505507.2918896	74802753.2212815	63435934.1857771	70373914.5827674	69574961.9129665	93972432.5532872	120705714.601331	48889695.4368378	58148253.361541	101767840.639952	ENSDARG00000052030,ENSDARG00000112549	ENSDART00000145019,ENSDART00000137268,ENSDART00000141822,ENSDART00000132762,ENSDART00000148142,ENSDART00000142213,ENSDART00000147494,ENSDART00000180910	ENSDARP00000119785,ENSDARP00000113164,ENSDARP00000122715,ENSDARP00000120539,ENSDARP00000113696,ENSDARP00000119690,,ENSDARP00000156797	akr1a1b-205,akr1a1b-202,akr1a1b-203,akr1a1b-201,akr1a1b-207,akr1a1b-204,akr1a1b-206,akr1a1b-208		protein_coding	aldo-keto_reductase_family_1,_member_A1b_(aldehyde_reductase)_[Source:ZFIN;Acc:ZDB-GENE-050417-118]
pep chromosome:GRCz11:15:35214546:35224481:-1 gene:ENSDARG00000094277.3 transcript:ENSDART00000099600.5 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:mrpl44 description:mitochondrial ribosomal protein L44 [Source:ZFIN;Acc:ZDB-GENE-050913-59]	mrpl44	72509441.7714285	97158775.5182713	106647649.307638	90477720.9221496	98660464.9724591	76855260.8418797	77215767.7035531	58596721.3494395	74696884.0364869	43415914.5136631	63784901.623177	56262307.5449101	23254383.3679601	64330836.7243766	60706361.021972	45611475.880877	56217115.425634	32188461.3973426	ENSDARG00000094277	ENSDART00000014415,ENSDART00000099600	ENSDARP00000008453,ENSDARP00000090374	mrpl44-201,mrpl44-202		protein_coding	mitochondrial_ribosomal_protein_L44_[Source:ZFIN;Acc:ZDB-GENE-050913-59]
pep chromosome:GRCz11:17:17763167:17764801:-1 gene:ENSDARG00000097753.2 transcript:ENSDART00000155261.2 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:slirp description:SRA stem-loop interacting RNA binding protein [Source:ZFIN;Acc:ZDB-GENE-030729-30]	sb:cb657; si:ch73-276n11.1; slirp	72359675.2818772	111802070.845143	181175966.807316	138349989.963145	218542.398906558	88961612.860665	111342089.701071	63566768.3265143	101511625.228837	58574568.4341426	154584177.219657	60508685.4648027	68982405.4346448	118473858.136758	58873688.9571748	225225407.036431	141150081.131629	7648382.96699447	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:12:21684239:21688087:1 gene:ENSDARG00000032985.7 transcript:ENSDART00000043546.7 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:mrpl27 description:mitochondrial ribosomal protein L27 [Source:ZFIN;Acc:ZDB-GENE-050522-129]	LOC100329921	72264637.7207374	65186933.5528838	99510404.2776523	118266175.428531	110491371.976565	103395092.079166	67914886.8919291	112312147.075506	70190069.5278135	91696902.5726099	76277160.2297167	58623425.4996286	31032610.4966522	136859337.469689	60585632.5834298	55187439.7943961	41914130.3977908	12224878.915306	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:13:36557205:36566260:-1 gene:ENSDARG00000028321.7 transcript:ENSDART00000030133.7 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:synj2bp description:synaptojanin 2 binding protein [Source:ZFIN;Acc:ZDB-GENE-030131-6531]	synj2bp	72194554.8782535	67804103.1843252	39662602.5992448	88187258.8579608	68331059.9866283	74808584.523291	50158238.9498143	30805489.7741582	45021065.5915632	84114831.278429	95425853.45864	130418834.812823	64906493.6947925	84363451.2971912	112693272.97991	41376905.694145	88206407.4953232	47307407.6056283	ENSDARG00000028321	ENSDART00000030133	ENSDARP00000033740	synj2bp-201		protein_coding	synaptojanin_2_binding_protein_[Source:ZFIN;Acc:ZDB-GENE-030131-6531]
pep chromosome:GRCz11:5:12032802:12063381:-1 gene:ENSDARG00000005320.9 transcript:ENSDART00000026749.9 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:nipsnap1 description:nipsnap homolog 1 (C. elegans) [Source:ZFIN;Acc:ZDB-GENE-991008-17]	nipsnap1	72180376.634616	95049518.6954827	79315762.9523913	122527251.722603	98573644.1259662	66390449.0493011	88892974.2784669	62614131.1968913	72316819.0449062	60920914.1862914	70128121.2559889	40230641.4654846	72233819.1070713	59285940.8331291	60499629.7601846	108818806.47671	71901567.6473003	82311682.082327	ENSDARG00000005320	ENSDART00000026749	ENSDARP00000026717	nipsnap1-201		protein_coding	nipsnap_homolog_1_(C._elegans)_[Source:ZFIN;Acc:ZDB-GENE-991008-17]
pep chromosome:GRCz11:15:24676905:24690260:1 gene:ENSDARG00000092305.5 transcript:ENSDART00000078014.7 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:poldip2 description:polymerase (DNA-directed), delta interacting protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-5881]	poldip2	71754612.8541996	79849403.9385499	60428476.3160149	77366580.4952492	48789427.9377146	59736518.1023578	52469987.3840357	47865829.4993764	63337403.2016187	60145967.0564725	42081749.6859458	42916181.4953993	48403467.8986969	51608542.0874794	39069219.4885015	35376110.2895529	46296301.118273	29345250.4547234	ENSDARG00000092305,ENSDARG00000112927,ENSDARG00000117099	ENSDART00000151826,ENSDART00000147819,ENSDART00000145227,ENSDART00000143137,ENSDART00000078014,ENSDART00000192008,ENSDART00000189904	,ENSDARP00000118065,ENSDARP00000072478,ENSDARP00000146357,ENSDARP00000152834	poldip2-205,poldip2-204,poldip2-203,poldip2-202,poldip2-201,poldip2-206,poldip2-207		protein_coding	polymerase_(DNA-directed),_delta_interacting_protein_2_[Source:ZFIN;Acc:ZDB-GENE-030131-5881]
Zgc:112374 [Danio rerio]	pon3; zgc:112374; pon3.1	71272747.1334919	137138803.914656	160585364.755273	246429726.93151	275759814.070705	256522406.331438	215827311.30398	377044293.668809	372794645.87906	466735372.719839	372450247.342188	358619644.632402	246083532.968119	224667022.731449	172248081.39355	304174988.302477	277994700.388659	385422450.930605	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:14:30557361:30620350:1 gene:ENSDARG00000013075.10 transcript:ENSDART00000019898.10 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:mrpl11 description:mitochondrial ribosomal protein L11 [Source:ZFIN;Acc:ZDB-GENE-040718-294]	NA	70923801.3230529	131789051.858145	66781763.0913437	78873629.8637047	55839607.2549179	65662556.577299	77874261.2213473	105951792.653887	57741885.8152675	29442341.9848397	57543297.8792003	45014240.5658724	29810829.7408018	45516391.424703	42802160.657104	55490437.0008894	51691789.9911906	28171961.0494526	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:CHR_ALT_CTG15_1_1:5775483:5780492:-1 gene:ENSDARG00000112202.1 transcript:ENSDART00000181456.1 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:chchd2 description:coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1737]	NA	70457371.9061678	56559562.3824597	93278667.1137678	72130320.528376	49545596.8348866	88976626.109211	72489926.3666565	106899910.73229	41897753.7719162	51868707.8040806	59912679.6008246	39893073.703889	72886229.4943608	31154769.00077	25870783.9851219	24376065.3436765	17437435.3311529	246475.804151868	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:2:37827668:37837056:-1 gene:ENSDARG00000103889.2 transcript:ENSDART00000158179.2 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:mettl17 description:methyltransferase like 17 [Source:ZFIN;Acc:ZDB-GENE-031118-203]	mettl17; LOC565824	69609817.6892209	4802023.43418602	7759127.75574108	74705382.7176086	19379878.3363475	60861742.4775619	74283553.9725865	6328322.38216432	70113782.2997461	15707881.0500936	4764175.23153491	44181318.10723	18016153.8802638	31275607.2785525	86583058.6151761	8267309.06183726	2564089.5789445	16164094.547562	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:19:25526354:25548630:1 gene:ENSDARG00000036092.5 transcript:ENSDART00000052396.5 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:sdhaf3 description:succinate dehydrogenase complex assembly factor 3 [Source:ZFIN;Acc:ZDB-GENE-041010-94]	acn9; sdhaf3	69553503.2953897	48116489.7611953	68276963.3450712	32915903.8730938	57812848.8419814	73254282.5527144	70973288.8276896	12983759.498393	18894016.915469	2735915.36566227	30941173.4772483	33505973.8655757	29009121.4500051	14852329.313134	6744053.25164704	20287995.159714	35096576.4950498	27575975.4382949	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz10:3:13787669:13806538:-1 gene:ENSDARG00000098831.1 transcript:ENSDART00000171797.1 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:gcdhb description:glutaryl-CoA dehydrogenase b [Source:ZFIN;Acc:ZDB-GENE-041010-117]	NA	69496863.0931578	137476799.719672	47292053.5884138	104025095.223975	67203650.7239867	123873417.978676	99997926.9555275	58020362.04717	69979025.7790178	25898120.881218	94373000.3261753	65081047.3147342	51093673.4785393	59354334.4585004	65875461.7160992	47894055.7708202	32018292.0091123	16370950.5966486	NA	NA	NA	NA	NA	NA	NA
novel protein containing an Acyl-CoA dehydrogenase, N-terminal and C-terminal domain, partial [Danio rerio]	zgc:85777	69184028.4484946	96778990.85509	123741500.705329	16860822.8424081	74341576.1631052	75740052.8907314	36361006.0409841	81674122.3121731	100614948.257187	29869660.8109868	69092584.2591042	40061286.209155	69435929.5779832	43720458.2738945	50928183.588271	48362795.6987999	16704800.138447	25453861.6142807	ENSDARG00000027009,ENSDARG00000112673	ENSDART00000126470,ENSDART00000192540	ENSDARP00000110052,ENSDARP00000157645	zgc:85777-201,zgc:85777-202		protein_coding	zgc:85777_[Source:ZFIN;Acc:ZDB-GENE-040426-2210]
pep chromosome:GRCz11:14:5861435:5865146:1 gene:ENSDARG00000002344.9 transcript:ENSDART00000041279.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:tubb4b description:tubulin, beta 4B class IVb [Source:ZFIN;Acc:ZDB-GENE-030131-8625]	tubb4b	69156775.3955222	46839736.9281052	25354680.1215927	63552685.7164735	91095115.8412542	93100486.1190385	155947323.6662	119193665.411037	96768616.4858937	361758565.354358	310452896.360545	332026225.990301	358325412.445274	462599762.154734	397364165.883833	636933767.581949	639546037.436811	728989242.366655	ENSDARG00000041723	ENSDART00000061149	ENSDARP00000061148	TUBB4B-201		protein_coding	zgc:55461_[Source:ZFIN;Acc:ZDB-GENE-040426-2879]
pep chromosome:GRCz11:14:5861435:5865146:1 gene:ENSDARG00000002344.9 transcript:ENSDART00000041279.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:tubb4b description:tubulin, beta 4B class IVb [Source:ZFIN;Acc:ZDB-GENE-030131-8625]	tubb4b	69156775.3955222	46839736.9281052	25354680.1215927	63552685.7164735	91095115.8412542	93100486.1190385	155947323.6662	119193665.411037	96768616.4858937	361758565.354358	310452896.360545	332026225.990301	358325412.445274	462599762.154734	397364165.883833	636933767.581949	639546037.436811	728989242.366655	ENSDARG00000002344	ENSDART00000041279,ENSDART00000147341	ENSDARP00000041278,ENSDARP00000139366	tubb4b-201,tubb4b-202		protein_coding	tubulin,_beta_4B_class_IVb_[Source:ZFIN;Acc:ZDB-GENE-030131-8625]
pep chromosome:GRCz11:6:6231385:6258451:-1 gene:ENSDARG00000044601.9 transcript:ENSDART00000081966.5 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:rtn4a description:reticulon 4a [Source:ZFIN;Acc:ZDB-GENE-030710-1]	rtn4a	68924334.3579538	150686326.789443	257310680.58287	286114376.775725	225762979.549521	327492972.969342	290555505.53937	444532443.676825	370054011.045406	392655058.239882	280123760.839034	269358282.24339	234158397.152722	170025482.822563	135522395.276336	409911029.534286	288879754.523857	308141770.039608	ENSDARG00000044601,ENSDARG00000112237	ENSDART00000132350,ENSDART00000124662,ENSDART00000081966,ENSDART00000125918,ENSDART00000081952,ENSDART00000126142,ENSDART00000181522,ENSDART00000192247	,ENSDARP00000108083,ENSDARP00000076404,ENSDARP00000106859,ENSDARP00000076390,ENSDARP00000110732,ENSDARP00000154778,ENSDARP00000146828	rtn4a-205,rtn4a-203,rtn4a-202,rtn4a-204,rtn4a-201,rtn4a-206,rtn4a-207,rtn4a-208		protein_coding	reticulon_4a_[Source:ZFIN;Acc:ZDB-GENE-030710-1]
pep chromosome:GRCz11:8:12118097:12122228:1 gene:ENSDARG00000058865.5 transcript:ENSDART00000081819.5 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:endog description:endonuclease G [Source:ZFIN;Acc:ZDB-GENE-050522-402]	endog	68511563.3772911	6773361.83261544	4634697.30104525	4569793.14088785	1581912.78459429	20190368.7314933	210954.748090464	1309826.48817873	3587939.3295984	1799648.91227299	2436592.27421156	4924395.09701797	634781.450820795	5387015.27547643	6037359.63426001	3209875.52032915	4415679.30624454	1648024.59674202	ENSDARG00000058865	ENSDART00000081819	ENSDARP00000076258	endog-201		protein_coding	endonuclease_G_[Source:ZFIN;Acc:ZDB-GENE-050522-402]
pep chromosome:GRCz11:19:42983613:42993306:1 gene:ENSDARG00000023290.8 transcript:ENSDART00000033724.7 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:fabp3 description:fatty acid binding protein 3, muscle and heart [Source:ZFIN;Acc:ZDB-GENE-020318-2]	fabp3	67338757.5981177	14162208.6535718	43585582.0375529	123635356.265953	92196521.4954006	113141509.41001	90383091.4299061	142021932.284554	119784750.031739	120866733.470515	113361499.487038	135567818.932727	182345219.486309	201110401.957076	144656579.176013	194694232.652706	124044267.094153	156262806.830308	ENSDARG00000023290	ENSDART00000141225,ENSDART00000033724	ENSDARP00000125867,ENSDARP00000039143	fabp3-202,fabp3-201		protein_coding	fatty_acid_binding_protein_3,_muscle_and_heart_[Source:ZFIN;Acc:ZDB-GENE-020318-2]
pep chromosome:GRCz11:6:52521467:52566574:-1 gene:ENSDARG00000068176.6 transcript:ENSDART00000098421.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:uqcc1 description:ubiquinol-cytochrome c reductase complex assembly factor 1 [Source:ZFIN;Acc:ZDB-GENE-060929-1034]	NA	66847316.6903968	43306539.1574779	63631039.0042931	36879312.0247356	56188486.2427046	43496633.4253377	27941506.0205359	31246338.4835432	38499339.1129659	37179744.9820139	31209757.2245905	41034595.1553337	37090849.8059981	16778512.5585987	46343488.2028682	26826261.6927162	27447257.1869762	18752557.9616672	NA	NA	NA	NA	NA	NA	NA
growth arrest and DNA damage-inducible proteins-interacting protein 1 [Danio rerio]	gadd45gip1	66113596.5351754	70345023.0349968	43532923.4095877	34940302.6410431	75974078.984516	33607210.6035159	50772967.6237011	26278147.6363485	15702632.594397	20764486.1262238	39260271.5189229	22629545.570629	24127408.6026073	48059123.3579332	27114622.2306627	18920001.67754	28345872.5329358	15634804.7240892	ENSDARG00000039338	ENSDART00000133850	ENSDARP00000115136	GADD45GIP1-201		protein_coding	GADD45G_interacting_protein_1_[Source:HGNC_Symbol;Acc:HGNC:29996]
Calrl2 protein [Danio rerio]	calrl2; calr	65897671.238098	76366044.3260116	171544503.961727	209577737.140774	225979250.459993	204967145.580905	246401254.321429	281905619.314012	252652998.556086	349073227.239242	268720060.024548	265464634.933212	196145134.955781	160360458.98098	115249944.667082	275321936.248857	283187027.323289	330985225.594046	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:11:11319141:11331052:-1 gene:ENSDARG00000058824.7 transcript:ENSDART00000081765.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:mrpl4 description:mitochondrial ribosomal protein L4 [Source:ZFIN;Acc:ZDB-GENE-050522-388]	zgmrpl4; mrpl4	65874003.5761055	64887065.0680653	65160174.6742544	63927204.6035661	68744338.9076523	59369709.6473852	63821721.0993074	41457102.2189539	47618303.5901888	27332397.374305	38994131.6128106	38816223.9348419	29410330.369406	52092312.1500605	35647782.2496118	28879755.139426	29156488.3973489	24623152.7998861	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:13:9288383:9300299:-1 gene:ENSDARG00000069909.7 transcript:ENSDART00000144142.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:HTRA2 (1 of many) description:si:dkey-33c12.12 [Source:ZFIN;Acc:ZDB-GENE-081028-30]	LOC561604	65790394.6047379	50478888.9350397	55370176.6245118	29494016.0177746	37208657.1150098	33669701.140719	30782187.864872	20160454.8271456	31745931.5770532	24683242.2122184	27804412.0927571	22935049.8758571	29340605.5182513	14080016.0553549	32476909.3189507	12890179.5803157	16026096.6783435	12264956.5149371	NA	NA	NA	NA	NA	NA	NA
Gapdh protein, partial [Danio rerio]	gapdh	65318821.4017951	491996380.226282	518622434.62593	558774638.147343	447174219.634482	290279354.854887	385217023.004815	367016168.207626	321550441.255029	685796590.684993	620412832.467948	567984800.578061	957335980.012086	982018405.136255	809801701.256774	754489786.603164	668498569.366793	646675089.694002	ENSDARG00000043457	ENSDART00000147739,ENSDART00000135146,ENSDART00000139939,ENSDART00000063800,ENSDART00000148397,ENSDART00000163606	ENSDARP00000118100,ENSDARP00000119951,ENSDARP00000118517,ENSDARP00000063799,,ENSDARP00000134592	gapdh-204,gapdh-202,gapdh-203,gapdh-201,gapdh-205,gapdh-206		protein_coding	glyceraldehyde-3-phosphate_dehydrogenase_[Source:ZFIN;Acc:ZDB-GENE-030115-1]
pep chromosome:GRCz11:22:37534094:37541020:1 gene:ENSDARG00000044420.6 transcript:ENSDART00000065239.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:dnajc19 description:DnaJ (Hsp40) homolog, subfamily C, member 19 [Source:ZFIN;Acc:ZDB-GENE-040426-1730]	dnajc19	65231654.0911291	59094033.8491444	62947266.4002275	37950991.4505089	81121124.0228107	51903992.4475374	32751987.5760645	41191195.8801219	46926440.9762542	25481563.1824042	55470169.5796055	56984635.6091049	36454173.1872004	21067653.8093427	41206182.1322113	22074792.9935879	30605127.8852042	4320557.26519831	ENSDARG00000044420	ENSDART00000065239	ENSDARP00000065238	dnajc19-201		protein_coding	DnaJ_(Hsp40)_homolog,_subfamily_C,_member_19_[Source:ZFIN;Acc:ZDB-GENE-040426-1730]
pep chromosome:GRCz11:10:29770242:29790773:1 gene:ENSDARG00000013670.11 transcript:ENSDART00000193205.1 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:hyou1 description:hypoxia up-regulated 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5344]	NA	64979997.7196167	163497897.241888	228757320.381248	375128214.092355	317527610.753461	257890585.926057	323170987.856844	419314717.279008	386066679.85231	452504415.611327	396188535.247621	324898147.727397	256881656.815249	197983603.23163	200900863.093957	360965349.562672	284021246.097418	375683070.109389	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:9:21824763:21825913:-1 gene:ENSDARG00000069850.4 transcript:ENSDART00000101986.4 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:mrpl30 description:mitochondrial ribosomal protein L30 [Source:ZFIN;Acc:ZDB-GENE-050522-240]	mrpl30; zgc:112089	64888320.3554406	139155493.952183	99762489.0507855	98441714.3569252	57817068.8181433	84676604.5726818	79849797.7335116	81671484.1790264	33115096.0386961	23137328.1793476	84146964.7748245	38253408.2503895	41350171.5044113	68504741.5702068	21584773.0472135	50308769.960678	65411451.255276	30850950.3301595	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:6:1494817:1514767:-1 gene:ENSDARG00000045978.8 transcript:ENSDART00000067586.8 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:chchd6b description:coiled-coil-helix-coiled-coil-helix domain containing 6b [Source:ZFIN;Acc:ZDB-GENE-041114-95]	NA	64237712.7954373	40983696.4051625	48562046.2010606	39521919.1844866	56490770.9891885	43551654.6277568	23888459.2156046	38786174.4994248	30071861.9306868	32754531.496564	29872280.8896435	32473158.9386102	16379280.2496167	33182312.3622345	17799882.4684834	24641182.6407077	22585940.750759	18063419.7960895	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:10:45345574:45352279:1 gene:ENSDARG00000103994.2 transcript:ENSDART00000166085.2 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:ppiab description:peptidylprolyl isomerase Ab (cyclophilin A) [Source:ZFIN;Acc:ZDB-GENE-030131-7459]	ppiab	64152379.6477231	37946539.5987361	109995592.598896	239764880.570912	246553218.977545	168830767.11931	295382191.308146	196822168.070493	283108335.830301	499841498.01913	394754407.728104	498766368.149605	544724056.742023	591695026.574001	598387955.990644	291945755.719376	455188045.579907	462421958.026235	ENSDARG00000103994	ENSDART00000166085	ENSDARP00000134856	ppiab-201		protein_coding	peptidylprolyl_isomerase_Ab_(cyclophilin_A)_[Source:ZFIN;Acc:ZDB-GENE-030131-7459]
pep chromosome:GRCz11:20:16163142:16171297:-1 gene:ENSDARG00000019355.9 transcript:ENSDART00000012476.9 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:coa7 description:cytochrome c oxidase assembly factor 7 [Source:ZFIN;Acc:ZDB-GENE-041014-16]	selrc1; coa7	63256641.0937677	37280351.6795898	50445098.3115943	35917265.6531681	7872234.3494821	44588659.2601069	49587596.9620568	17811552.9314608	43394036.6222401	16836168.8797149	12650390.1282063	26916369.1632963	4870779.26830223	45240555.0807215	15533417.726182	20534639.9313766	10813504.282222	3975944.71507527	NA	NA	NA	NA	NA	NA	NA
39S ribosomal protein L38, mitochondrial isoform X1 [Danio rerio]	mrpl38; LOC100334022	62947108.7643644	68604367.8545305	72230312.5489934	56005909.0984658	65258321.9566746	57527247.9049023	58231507.553416	44415940.9541247	45231327.3448034	38186424.7359263	50945092.4807815	34104752.942521	50903625.7210543	48997902.8784655	32500961.1596255	19073978.7585554	21643496.4469686	20931873.1881112	NA	NA	NA	NA	NA	NA	NA
